date,fmisid,station_lat,station_lon,temperature,humidity,wind_speed,precipitation,fire
2021-04-11,100683,60.303725,25.549164,4.07,78.79,4.97,,1
2021-04-11,101785,64.66589,24.40695,0.75,84.96,10.45,,1
2021-04-14,100683,60.303725,25.549164,3.46,74.25,3.25,,1
2021-04-17,101673,64.33073,23.44627,2.09,79.04,2.27,,1
2021-05-08,101785,64.66589,24.40695,2.87,76.21,4.63,,1
2021-05-09,101785,64.66589,24.40695,4.73,72.67,5.83,,1
2021-05-23,100947,60.37788,22.0964,9.81,83.33,3.52,,1
2021-05-28,101785,64.66589,24.40695,7.23,71.5,6.49,,1
2021-06-03,101462,63.058578,21.754597,17.67,57.38,1.94,,1
2021-06-03,101636,63.321083,30.045778,17.2,59.62,1.61,0.0,1
2021-06-02,101785,64.66589,24.40695,11.81,71.67,1.94,,1
2021-06-23,100683,60.303725,25.549164,21.45,85.92,2.9,,1
2021-07-03,100947,60.37788,22.0964,22.29,65.75,2.3,,1
2021-07-10,101851,65.868932,24.179364,21.96,62.25,1.43,0.0,1
2021-07-27,101130,60.595889,24.802972,22.76,58.04,,0.0,1
2021-08-07,101851,65.868932,24.179364,17.33,56.5,2.23,0.0,1
2021-08-22,100947,60.37788,22.0964,14.52,80.75,6.91,,1
2021-08-24,101785,64.66589,24.40695,9.27,72.48,3.74,,1
2021-08-24,101065,60.515647,22.279155,10.51,72.33,2.49,,1
2021-09-01,100947,60.37788,22.0964,13.35,66.38,9.5,,1
2021-09-03,101785,64.66589,24.40695,9.71,71.83,10.4,,1
2021-09-06,101851,65.868932,24.179364,9.72,83.08,1.23,0.0,1
2021-09-22,101785,64.66589,24.40695,6.31,74.75,6.25,,1
2021-09-27,100947,60.37788,22.0964,10.7,84.0,2.82,,1
